permit_number,parcel_identifier,source_system,issuing_agency,improvement_status,permit_issue_date,days_open,contractor_name,contractor_phone,contractor_license,bbb_rating,address_street,address_zip,latitude,longitude,source_url
BC-23-0291,212529223500010013,osceola_appraiser,Osceola County,open,2023-06-13,1182,,,,,1100 N JOHN YOUNG PKWY,34741,28.301853983955542,-81.41711052708423,https://www.property-appraiser.org/data/
BC-23-0295,222529217000100060,osceola_appraiser,Osceola County,open,2023-06-15,1180,,,,,11 BROADWAY,34741,28.29236349579416,-81.40763903875387,https://www.property-appraiser.org/data/
BC-23-0319,19252900U000120000,osceola_appraiser,City of Kissimmee,open,2023-07-25,1140,,,,,1101 N HOAGLAND BLVD,34741,28.30176902144134,-81.44428602797721,https://www.property-appraiser.org/data/
BC-23-0320,222529217000100060,osceola_appraiser,City of Kissimmee,open,2023-07-25,1140,,,,,11 BROADWAY,34741,28.29236349579416,-81.40763903875387,https://www.property-appraiser.org/data/
BC-23-0445,222529217000090050,osceola_appraiser,City of Kissimmee,open,2023-10-03,1070,,,,,401 CHURCH ST,34741,28.29680650387861,-81.40471971330979,https://www.property-appraiser.org/data/
BC-23-0447,2125291816000A0010,osceola_appraiser,City of Kissimmee,open,2023-10-04,1069,,,,,802 W OAK ST,34741,28.300565316835183,-81.41220522405474,https://www.property-appraiser.org/data/
BC-23-0453,2325291568000I0040,osceola_appraiser,City of Kissimmee,open,2023-10-09,1064,,,,,1500 E VINE ST,34744,28.302291440543726,-81.38232389980321,https://www.property-appraiser.org/data/
BC-23-0455,092529000003200000,osceola_appraiser,City of Kissimmee,open,2023-10-11,1062,,,,,2546 N JOHN YOUNG PKWY,34741,28.320603752469918,-81.4165904439419,https://www.property-appraiser.org/data/
P23-006727,0126293641TRAC5205,osceola_appraiser,Osceola County,open,2023-11-01,1041,,,,,2000 EVEN KING RANCH,34744,28.257475339206863,-81.36095587374527,https://www.property-appraiser.org/data/
P23-006728,0126293641TRAC5085,osceola_appraiser,Osceola County,open,2023-11-01,1041,,,,,1700 ODD WALNUT CREEK,34744,28.25682113616034,-81.36405907798755,https://www.property-appraiser.org/data/
BC-23-0484,182530138000010010,osceola_appraiser,City of Kissimmee,open,2023-11-03,1039,,,,,1401 SIMPSON RD,34744,28.30470599290199,-81.34985395579527,https://www.property-appraiser.org/data/
BC-23-0508,222529105000030020,osceola_appraiser,City of Kissimmee,open,2023-12-04,1008,,,,,1311 BAY ST,34744,28.304002584368444,-81.40119056542525,https://www.property-appraiser.org/data/
BC-23-0513,16252900U002500000,osceola_appraiser,City of Kissimmee,open,2023-12-06,1006,,,,,1001 W VINE ST,34741,28.305074016445943,-81.41438193249819,https://www.property-appraiser.org/data/
P23-012151,072530267700441100,osceola_appraiser,Osceola County,open,2023-12-10,1002,,,,,424 LA PAZ,34743,28.318995931149963,-81.36707887414622,https://www.property-appraiser.org/data/
BC-23-0533,212529187400010010,osceola_appraiser,City of Kissimmee,open,2023-12-22,990,,,,,700 W OAK ST,34741,28.299458948280126,-81.41009836526067,https://www.property-appraiser.org/data/
BC-24-0001,152529194000010139,osceola_appraiser,City of Kissimmee,open,2024-01-02,979,,,,,1907 N MAIN ST,34744,28.30836645017206,-81.4031290385731,https://www.property-appraiser.org/data/
BC-24-0064,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0065,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0067,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0068,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0069,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0070,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0071,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-14,936,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0072,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0073,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0074,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0075,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
BC-24-0076,3325291865000100D0,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,1400 OAK HAVEN DR,34741,28.270503426794466,-81.4211464547276,https://www.property-appraiser.org/data/
MSC-24-0042,212529183700010010,osceola_appraiser,City of Kissimmee,open,2024-02-15,935,,,,,717 N PALM AVE,34741,28.29880637908471,-81.42066942594298,https://www.property-appraiser.org/data/
BC-24-0100,212529225200010010,osceola_appraiser,City of Kissimmee,open,2024-03-06,915,,,,,702 MABBETTE ST,34741,28.29333351532932,-81.41152852291465,https://www.property-appraiser.org/data/
P23-006579,022529408000660065,osceola_appraiser,Osceola County,open,2024-04-01,889,,,,,606 STILL,34744,28.333703762911348,-81.39941148484893,https://www.property-appraiser.org/data/
BC-24-0138,152529104000140100,osceola_appraiser,City of Kissimmee,open,2024-04-10,880,,,,,801 E VINE ST,34744,28.305045738023026,-81.39706625442372,https://www.property-appraiser.org/data/
BC-24-0172,162529190500010080,osceola_appraiser,City of Kissimmee,open,2024-05-09,851,,,,,300 PARK PLACE BLVD,34741,28.313088106131044,-81.4082124451788,https://www.property-appraiser.org/data/
BPT-24-0030,2125291920000E0015,osceola_appraiser,City of Kissimmee,open,2024-05-16,844,,,,,"702 VERONA ST #A/B",34741,28.29249187201463,-81.41121718857238,https://www.property-appraiser.org/data/
BC-24-0188,182529198200010010,osceola_appraiser,City of Kissimmee,open,2024-05-20,840,,,,,3915 W VINE ST,34741,28.304887922274887,-81.44317918226061,https://www.property-appraiser.org/data/
A24-004480,112528321700010030,osceola_appraiser,Osceola County,open,2024-05-22,838,,,,,2880 POINCIANA,34746,28.33144543709732,-81.49022533391147,https://www.property-appraiser.org/data/
A24-004483,112528321700010030,osceola_appraiser,Osceola County,open,2024-05-22,838,,,,,2880 POINCIANA,34746,28.33144543709732,-81.49022533391147,https://www.property-appraiser.org/data/
BC-24-0192,2125291920000Q0045,osceola_appraiser,City of Kissimmee,open,2024-05-29,831,,,,,803 VERONA ST,34741,28.292959391681173,-81.41229362424566,https://www.property-appraiser.org/data/
BC-24-0197,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-05,824,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0198,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-05,824,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
A24-005200,062527297500010040,osceola_appraiser,Osceola County,open,2024-06-14,815,,,,,8890 IRLO BRONSON MEM,34747,28.346195950802617,-81.64335016835402,https://www.property-appraiser.org/data/
BC-24-0214,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-18,811,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
A24-005401,022528359400010020,osceola_appraiser,Osceola County,open,2024-06-24,805,,,,,5041 IRLO BRONSON MEM W,34746,28.333605115448297,-81.4862531227955,https://www.property-appraiser.org/data/
A24-005403,022528359400010020,osceola_appraiser,Osceola County,open,2024-06-24,805,,,,,5031 IRLO BRONSON MEM W,34746,28.333605115448297,-81.4862531227955,https://www.property-appraiser.org/data/
BC-24-0218,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-24,805,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0219,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-24,805,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0220,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-06-24,805,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0237,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-07-16,783,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0238,212529142000010658,osceola_appraiser,City of Kissimmee,open,2024-07-17,782,,,,,322 N JOHN YOUNG PKWY,34741,28.295760047963977,-81.4165159271373,https://www.property-appraiser.org/data/
BC-24-0240,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-07-17,782,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0242,172529125900010010,osceola_appraiser,City of Kissimmee,open,2024-07-17,782,,,,,2147 W COLUMBIA AVE,34741,28.308460206179028,-81.42490458291783,https://www.property-appraiser.org/data/
BC-24-0243,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-07-17,782,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0244,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-07-18,781,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
BC-24-0264,19252900U000930000,osceola_appraiser,City of Kissimmee,open,2024-07-30,769,,,,,4104 W VINE ST,34741,28.30327072304577,-81.44544795962005,https://www.property-appraiser.org/data/
BC-24-0274,212529219000010010,osceola_appraiser,City of Kissimmee,open,2024-08-02,766,,,,,300 N JOHN YOUNG PKWY,34741,28.294930277201995,-81.41644847294992,https://www.property-appraiser.org/data/
A24-006667,092528424000010121,osceola_appraiser,Osceola County,open,2024-08-05,763,,,,,5880 IRLO BRONSON MEM W,34746,28.33228391939534,-81.52029720891588,https://www.property-appraiser.org/data/
A24-006912,09252848040001001B,osceola_appraiser,Osceola County,open,2024-08-12,756,,,,,5680 IRLO BRONSON MEM,34746,28.33188997430288,-81.51260816486379,https://www.property-appraiser.org/data/
A24-006993,122528509400010030,osceola_appraiser,Osceola County,open,2024-08-13,755,,,,,4797 IRLO BRONSON MEM W,34746,28.330718319687556,-81.47279632184888,https://www.property-appraiser.org/data/
BC-24-0282,22252900U001900000,osceola_appraiser,City of Kissimmee,open,2024-08-15,753,,,,,602 E VINE ST,34744,28.304094136390137,-81.39931095971306,https://www.property-appraiser.org/data/
BC-24-0283,212529142000010324,osceola_appraiser,City of Kissimmee,open,2024-08-16,752,,,,,401 W OAK ST,34741,28.301391640920873,-81.40840271177841,https://www.property-appraiser.org/data/
BC-24-0289,072530113900010010,osceola_appraiser,City of Kissimmee,open,2024-08-20,748,,,,,2500 SIMPSON RD,34744,28.317861524909986,-81.34111469889187,https://www.property-appraiser.org/data/
BC-24-0296,22252900U000400000,osceola_appraiser,City of Kissimmee,open,2024-08-26,742,,,,,610 E VINE ST,34744,28.303915617113333,-81.39909078718287,https://www.property-appraiser.org/data/
MSR-24-0439,212529169600010030,osceola_appraiser,City of Kissimmee,open,2024-09-06,731,,,,,800 HARFORD ST,34741,28.294193384141103,-81.41177125521482,https://www.property-appraiser.org/data/
BC-24-0316,2225291050000D0045,osceola_appraiser,City of Kissimmee,open,2024-09-13,724,,,,,903 N MAIN ST,34744,28.29997856813681,-81.40336879308519,https://www.property-appraiser.org/data/
A24-007222,032529458100010020,osceola_appraiser,Osceola County,open,2024-09-18,719,,,,,3284 JOHN YOUNG,34741,28.345324377490325,-81.42216672595083,https://www.property-appraiser.org/data/
BR-24-1226,212529169600010030,osceola_appraiser,City of Kissimmee,open,2024-09-19,718,,,,,800 HARFORD ST,34741,28.294193384141103,-81.41177125521482,https://www.property-appraiser.org/data/
A24-008128,102528371600010074,osceola_appraiser,Osceola County,open,2024-09-25,712,,,,,5324 FAIRFIELD LAKE,34746,28.32958447438488,-81.49939687503122,https://www.property-appraiser.org/data/
BC-24-0321,22252900U000100000,osceola_appraiser,City of Kissimmee,open,2024-09-25,712,,,,,1225 UTICA DR,34744,28.302266132589633,-81.39355425291502,https://www.property-appraiser.org/data/
P24-008168,1726295205000D0330,osceola_appraiser,Osceola County,open,2024-10-01,706,,,,,1800 GRANADA,34746,28.22513329621906,-81.42195137312517,https://www.property-appraiser.org/data/
P24-007596,082531407500010150,osceola_appraiser,Osceola County,open,2024-10-02,705,,,,,5045 MARINA,34771,28.32510259587372,-81.23889351858017,https://www.property-appraiser.org/data/
BC-24-0342,152529217100010030,osceola_appraiser,City of Kissimmee,open,2024-10-15,692,,,,,53 W VINE ST,34741,28.305041008127713,-81.40415698230272,https://www.property-appraiser.org/data/
A23-006938,032529461300010010,osceola_appraiser,Osceola County,open,2024-10-24,683,,,,,2982 ORANGE BLOSSOM N,34741,28.33652848298756,-81.4050766737925,https://www.property-appraiser.org/data/
A24-008805,152529326000030060,osceola_appraiser,Osceola County,open,2024-10-25,682,,,,,2327 SMITH,34744,28.312593636630893,-81.39925119960289,https://www.property-appraiser.org/data/
A24-008984,192527000000100000,osceola_appraiser,Osceola County,open,2024-10-28,679,,,,,8925 LIVIGNO,34747,28.30127991255138,-81.64419993266249,https://www.property-appraiser.org/data/
A24-008985,192527000000100000,osceola_appraiser,Osceola County,open,2024-10-28,679,,,,,8925 LIVIGNO,34747,28.30127991255138,-81.64419993266249,https://www.property-appraiser.org/data/
A24-009029,122728473200010030,osceola_appraiser,Osceola County,open,2024-10-28,679,,,,,4770 MARIGOLD,34758,28.14483906616084,-81.47130191466587,https://www.property-appraiser.org/data/
BC-24-0350,152529202000B20200,osceola_appraiser,City of Kissimmee,open,2024-10-30,677,,,,,203 E VINE ST,34744,28.30468492632084,-81.40201042346573,https://www.property-appraiser.org/data/
A24-009075,2526286100000C0010,osceola_appraiser,Osceola County,open,2024-11-01,675,,,,,3999 MONTEREY,34758,28.173266650621166,-81.49295808901834,https://www.property-appraiser.org/data/
BC-24-0351,192529156200010230,osceola_appraiser,City of Kissimmee,open,2024-11-04,672,,,,,4018 W VINE ST,34741,28.30310337147207,-81.4434372123421,https://www.property-appraiser.org/data/
BC-24-0354,14252900U003030000,osceola_appraiser,City of Kissimmee,open,2024-11-05,671,,,,,1425 E VINE ST,34744,28.30502260594791,-81.38612514268856,https://www.property-appraiser.org/data/
A24-009226,3225284520000A0030,osceola_appraiser,Osceola County,open,2024-11-06,670,,,,,6025 ORANGE BLOSSOM S,33896,28.265083575203207,-81.52545600277911,https://www.property-appraiser.org/data/
BC-24-0356,152529202000B20200,osceola_appraiser,City of Kissimmee,open,2024-11-07,669,,,,,203 E VINE ST,34744,28.30468492632084,-81.40201042346573,https://www.property-appraiser.org/data/
BC-24-0358,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-11,665,,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0359,2225291050000D0045,osceola_appraiser,City of Kissimmee,open,2024-11-11,665,,,,,903 N MAIN ST,34744,28.29997856813681,-81.40336879308519,https://www.property-appraiser.org/data/
BC-24-0360,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0361,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0362,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0363,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0364,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0365,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0366,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0367,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0368,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-13,663,,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
A24-009691,102527545200010010,osceola_appraiser,Osceola County,open,2024-11-20,656,,,,,7700 WESTGATE,34747,28.33064342100454,-81.59877981938553,https://www.property-appraiser.org/data/
BC-24-0399,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0400,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0401,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0402,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0403,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0404,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0405,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0406,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0407,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0408,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0409,162529200400010010,osceola_appraiser,City of Kissimmee,open,2024-11-25,651,Marlyn  Bryant,,,,1915 REEF CLUB DR,34741,28.309854192154866,-81.42316904892968,https://www.property-appraiser.org/data/
BC-24-0410,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0411,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0412,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0413,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0414,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0415,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0416,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0417,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0418,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0419,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0420,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0421,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0422,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0423,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0424,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0425,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
